FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,1,0,"Cheese, Mexican, queso asadero","Fromage mexicain, queso asadero",1995-01-01,,01166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0,"Cheese, Mexican, queso chihuahua","Fromage Mexicain, queso chihuahua",1995-01-01,,01167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,1,0,"Cheese, cheddar or colby type, low fat (7% M.F.)","Fromage, type cheddar ou colby, faible en gras (7% M.G.)",1995-01-01,,01168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,1,0,"Cheese, cheddar or colby type, low sodium","Fromage, type cheddar ou colby, faible en sodium",1995-01-01,,01169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,1,1,"Cheese, cottage, (1% M.F.)","Fromage cottage, (1% M.G.)",1981-01-01,,01016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,1,1,"Cheese, feta",Fromage f閠a,1981-01-01,,01019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,1,0,"Cheese, gouda",Fromage gouda,1981-01-01,,01022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,1,1,"Cheese, mozzarella, (52% water, 22.5% M.F.)","Fromage mozzarella, (52% eau, 22.5% M.G.)",1981-01-01,,01026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,1,1,"Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","Fromage mozzarella, partiellement 閏r閙? (52% eau, 16.5% M.G.)",1981-01-01,,01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,1,1,"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.","Lait, concentr? 閏r閙? conserve, non dilu? 0.2% M.G.",1981-01-01,,01097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,1,0,"Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.","Lait, liquide, entier, homog閚閕s? pasteuris? 3.25% M.G.",1981-01-01,,01077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
